ID,Pathogen,Cleaned Name,Original Name,Region,Country,City,Street Address,Postal Code,Contact Phone #,Email Address,Institution Type,URL,Affiliation,Research_Area,Research_Description,Source
17,Zika,University of Georgia,University of Georgia,America (AMRO),United States,"Athens, GA",The University of Georgia,30602,706-542-5969,dclee@uga.edu,Academic,http://www.uga.edu,,Vaccine,Collaborating with GeoVax - UGA's Center for Vaccines and Immunology,http://www.geovax.com/news-events/entry/2016/04/18/geovax-provides-update-on-zika-vaccine-program.html
18,Zika,UNICEF,UNICEF,America (AMRO),United States,"New York, NY","UNICEF House, 3 United Nations Plaza",10017,1-212-326-7000,http://www.unicef.org/about/contact_contactusform.php,Public,http://www.unicef.org,,Funder,Call for money to fund vaccine R&D - working with Google,https://www.unicefusa.org/stories/unicef-teams-google-fight-zika/30035
19,Zika,University of South Austrailia,University of South Austrailia,Western Pacific (WPRO),Australia,Adelaide SA,101 Currie St,50001,61 8 8302 6611,"Kelly.stone@unisa.edu.au, john.hayball@unisa.edu.au",Academic,https://www.unisa.edu.au,,Vaccine,Working with Sementis,http://www.unisa.edu.au/Media-Centre/Releases/UniSA-industry-partnership-seeks-vaccine-for-Zika-virus/#.VzaVmBUrJD0
20,Zika,Google,Google,America (AMRO),United States,"Mountain View, CA ",1600 Amphitheatre Parkway,94043,1-650-253-0000,https://www.google.com/contact/,Private,https://www.google.com/about/company/,,Funder,Donated $1 million to UNICEF to fund Zika R&D,https://www.unicefusa.org/stories/unicef-teams-google-fight-zika/30035
21,Zika,University of Texas Medical Branch,University of Texas Medical Branch,America (AMRO),United States,"Galveston, TX",301 University Blvd,77555,(409) 772-1011, public.affairs@utmb.edu,Academic,http://www.utmb.edu,Global Zika Task Force,Laboraty Methods,Providing reagents to test Geovax's work,http://www.geovax.com/news-events/entry/2016/04/18/geovax-provides-update-on-zika-vaccine-program.html
22,Zika,University of Miami Center for AIDS Research,University of Miami Center for AIDS Research,America (AMRO),United States,"Miami, FL",1800 NW 10th Ave,33136,(305) 243-3838,dcfar@med.miami.edu,Academic,http://cfar.med.miami.edu,Global Zika Task Force,Epidemiology,Hosted conference where GeoVax presented initial data,http://www.geovax.com/news-events/entry/2016/05/02/geovax-presents-at-zika-virus-scientific-conference.html
23,Zika,Emory School of Medicine,Emory School of Medicine,America (AMRO),United States,"Atlanta, GA",1648 Pierce Dr NE,30307,(404) 727-5640,alevey@emory.edu,Academic,http://med.emory.edu/index.html,Global Zika Task Force,Epidemiology,Various academic researchers specializing in infectious diseases associated with Aedes Aegypti,http://news.emory.edu/stories/tip_sheets/tipsheet_zika_experts/
24,Zika,Washington University School of Medicine,Washington University School of Medicine,America (AMRO),United States,"St. Louis, MO",660 S Euclid Ave,63110, (314) 362-5000,mpa@wusm.wustl.edu,Academic,https://medicine.wustl.edu,Global Zika Task Force,Vaccine,Developed a mouse model for testing Zika vaccines,https://medicine.wustl.edu/news/new-mouse-model-aid-testing-zika-vaccine-therapeutics/
25,Zika,Colorado State University,Colorado State University,America (AMRO),United States," Fort Collins, CO",Colorado State University,80523,(970) 491-7194, presofc@lamar.colostate.edu,Academic,http://www.colostate.edu,Global Zika Task Force,Epidemiology,Working with the CDC to understand transmission,http://www.coloradoan.com/story/news/2016/02/12/fort-collins-cdc-branch-ground-zero-zika-virus-research/80316454/
26,Zika,University of Wisconsin School of Veterinary Medicine,University of Wisconsin School of Veterinary Medicine,America (AMRO),United States,"Madison, WI",2015 Linden Dr,53706,(608) 263-7600,http://www.vetmed.wisc.edu/about-the-school/contact-us/,Academic,http://www.vetmed.wisc.edu,Global Zika Task Force,Vaccine,Developed a mouse model for testing Zika vaccines,http://www.vetmed.wisc.edu/new-model-for-zika-research/
27,Zika,Yale School of Public Health,Yale School of Public Health,America (AMRO),United States,"New Haven, CT","60 College Street, P.O. Box 208034",06520-8034,(203) 785-4689,https://publichealth.yale.edu/about/contact/,Academic,https://publichealth.yale.edu,Global Zika Task Force,Epidemiology,Focusing on epidemiology of Zika,https://publichealth.yale.edu/emd/
28,Zika,National Institute of Allergies and Infectious Diseases (NIAID),National Institute of Allergies and Infectious Diseases (NIAID),America (AMRO),United States,"Bethesda, MD","5601 Fishers Lane, MSC 9806",20892-9806,866-284-4107,ocpostoffice@niaid.nih.gov,Public,https://www.niaid.nih.gov/Pages/default.aspx,Global Zika Task Force,All,Three platforms - (1) DNA-based vaccine repurposed from West Nile (2) Live attenuated vaccine based on Dengue (3) Investigational vaccine based on vesicular stomatitis virus,https://www.niaid.nih.gov/topics/zika/researchapproach/Pages/vaccineResearch.aspx
29,Zika,UCSF School of Medicine,UCSF School of Medicine,America (AMRO),United States,"San Francisco, CA",505 Parnassus Ave, 94143,415-514-8884,ctsi@ucsf.edu,Academic,https://medschool.ucsf.edu,Global Zika Task Force,Laboraty Methods,DNA sequencing of mosquito host and Zika virus,http://sanfrancisco.cbslocal.com/2016/05/03/bay-area-scientists-join-forces-to-help-contain-zika-virus/
30,Zika,United States Army Medical Research Institute of Infectious Disease (USARMIID),United States Army Medical Research Institute of Infectious Disease (USARMIID),America (AMRO),United States,"Frederick, MD","Attn: MCMR-UIZ-R, 1425 Porter Street",21702-5011,(301) 619-2285,teresa.l.vanderlinden.civ@mail.mil,Public,http://www.usamriid.army.mil,"Global Zika Task Force, ISARIC",Laboraty Methods,Partnering with other organizations to develop diagnostic tests for Zika,http://www.clinicalrm.com/may-4-2016-press-release-clinicalrm-supports-u-s-zika-emergency-response/
31,Zika,Johns Hopkins Bloomberg School of Public Health,Johns Hopkins Bloomberg School of Public Health,America (AMRO),United States,"Baltimore, MD",615 N. Wolfe Street,21205,410-955-3543,http://www.jhsph.edu/about/contact-us/,Academic,http://www.jhsph.edu,Global Zika Task Force,All,Applying work from Dengue to Zika,http://www.nature.com/news/dengue-vaccine-aces-trailblazing-trial-1.19576
32,Zika,University of Antioquia,University of Antioquia,America (AMRO),Colombia,"Medellín, Antioquia",Calle 67 Número 53 - 108,1226,57 4 2198332,investigacioninter@udea.edu.co,Academic,http://www.udea.edu.co/wps/portal/udea/web/home,Global Zika Task Force,Vector Control,Using immunized mosquitos against Aedes Aegypti,http://english.cntv.cn/2016/02/17/VIDEugZD9xzawdXZRHiguaYL160217.shtml
33,Zika,Institut Pasteur de Dakar,Institut Pasteur de Dakar,Africa (AFRO),Senegal,B.P. 220 - DAKAR,"36, Avenue Pasteur",,221 33 839 92 00,pasteurdakar@pasteur.sn ,Nonprofit ,http://www.pasteur.sn,Global Zika Task Force,Laboraty Methods,Working on diagnostic tests for Zika ,http://www.pasteur.fr/en/institut-pasteur/press/fact-sheets/zika
34,Zika,Makerere University Uganda Virus Research Institute,Makerere University Uganda Virus Research Institute,Africa (AFRO),Uganda,Entebbe,"P.O.BOX 49, Nakiwogo Road, Plot 51-59",,2.56414E+11,alison.tom@infocom.co.ug,Academic,http://www.muii.org.ug,"Global Zika Task Force, EDCT",Vector Control,"Discovered the virus, working on health system strategies to control virus in the present, early R&D as a part of the global task force",http://foreignpolicy.com/2016/02/10/uganda-discovered-the-zika-virus-and-the-solution-for-it/
35,Zika,Institut Pasteur,Institut Pasteur,Europe (EURO),France,"Paris, France", 25-28 Rue du Dr Roux,75015,33 1 45 68 80 00,,Nonprofit ,http://www.pasteur.fr/en,Global Zika Task Force,All,"Working to confirm link to microcephaly, early vaccine R&D",http://www.pasteur.fr/en/institut-pasteur/press/press-documents/zika-confirmation-causal-link-between-zika-virus-and-guillain-barre-syndrome
36,Zika,Institut de Recherche pour le Développement (IRD),Institut de Recherche pour le Développement (IRD),Europe (EURO),France,Marseille cedex 02,"Le Sextant, 44, bd de Dunkerque, CS 90009",13572 ,33 (0)4 91 99 92 00,https://en.ird.fr/infos-pratiques/contact-us,Public,https://en.ird.fr,Global Zika Task Force,Vector Control,"Working on insecticides, insect sterility, and co-vaccination strategies",https://www.ird.fr/toute-l-actualite/actualites/communiques-et-dossiers-de-presse/cp-2016/les-recherches-de-l-ird-sur-le-virus-zika-prevention-et-traitement-de-l-infection
37,Zika,University of Glasglow Centre of Virus Research,University of Glasglow Centre of Virus Research,Europe (EURO),United Kingdom,"Bearsden, Glasgow, Lanarkshire",464 Bearsden Rd,G61 1QH,44 (0)141 330 4017,Massimo.Palmarini@glasgow.ac.uk,Academic,http://www.gla.ac.uk/researchinstitutes/iii/cvr/,Global Zika Task Force,Epidemiology,"Working on understanding transmission, immune response, and epidemiology",http://www.gla.ac.uk/research/infocus/themes/zikavirus/
38,Zika,National Institute of Infectious Diseases,National Institute of Infectious Diseases,Europe (EURO),Italy,Rome,Via Portuense 292,00149,,giuseppe.ippolito@inmi.it,Public,http://www.inmi.it,Global Zika Task Force,Epidemiology,Part of Global Virus Network; general pre-clinical R&D,http://www.inmi.it/file/comunicati_stampa/2016/Zika%20Task%20Force%20Press%20Release.pdf
39,Zika,Universitat Autonoma de Barcelone Centre de Recerca en Sanitat Animal,Universitat Autonoma de Barcelone Centre de Recerca en Sanitat Animal,Europe (EURO),Spain,Barcelona,"Campus de la UAB, edifici CReSA, 08193 Bellaterra (Cerdanyola del Vallès)",,34 934 67 40 40,http://www.cresa.es/cresa3/default.asp?mod=strmenu61,Academic,http://www.cresa.es/cresa3/default.asp,Global Zika Task Force,Vector Control,Researchers working on virus vectors are part of the Global Virus Network,http://www.cresa.es/cresa3/default.asp?mod=strmenu01&anio=2016&sub=noticia352
40,Zika,Curtin University,Curtin University,Western Pacific (WPRO),Australia,"Bentley, Perth, WA ",Kent St,6102,61 8 9266 9266,https://askcurtin.custhelp.com/app/ask,Academic,http://www.curtin.edu.au,Global Zika Task Force,Epidemiology,Researching link between Zika and GBS,http://www.cidrap.umn.edu/news-perspective/2016/03/study-shows-strong-link-between-zika-infection-gbs
41,Zika,University of Malaya,University of Malaya,Western Pacific (WPRO),Malaysia,Kuala Lumpur,"Institute of Research Management and Monitoring (IPPP), Research Management & Innovation Complex",50603,603-7967 4525,ippp@um.edu.my,Academic,https://www.um.edu.my,Global Zika Task Force,Vector Control,"Part of Global Virus Network; mechanical, chemical (insecticide) and biological (vaccine) R&D",http://www.who.int/csr/research-and-development/zika-rd-pipeline.pdf
42,Zika,Novavax,Novavax,America (AMRO),United States,"Gaithersburg, MD ",20 Firstfield Road,20878,(240) 268-2000,busdev@novavax.com,Private,novavax.com,,Vaccine,Exploratory R&D,http://www.fiercepharma.com/r-d/novavax-explores-zika-vaccine-r-d-effort-as-virus-continues-to-spread
43,Zika,UK Medical Research Council,UK Medical Research Council,Europe (EURO),Europe,"London, UK","Medical Research Council, 14th floor, One Kemble Street",WC2B 4AN,020 7395 2345,corporate@headoffice.mrc.ac.uk,Public,http://www.mrc.ac.uk,"Zika Rapid Response Iniative, EDCTP",Funder,Funding vaccine R&D,https://www.mrc.ac.uk/news/browse/research-funders-join-forces-to-tackle-zika-virus-with-3-2m/
44,Zika,Wellcome Trust,Wellcome Trust,Europe (EURO),United Kingdom,London ,"Gibbs Building, 215 Euston Road",NW1 2BE,44 (0)20 7611 8888,contact@wellcome.ac.uk,Public,http://www.wellcome.ac.uk,"Zika Rapid Response Iniative, GloPID- R",Funder,"Funding broad Zika research on microcephaly, transmission, and ethics of pregnancy clinical trials",http://www.glopid-r.org/wp-content/uploads/2016/05/findings-of-zika-research-working-groups-on-vaccines-aetiology-and-diagnostics.pdf
45,Zika,Newton Fund,Newton Fund,Europe (EURO),United Kingdom,,,,,enquiries@newtonfund.ac.uk,Public,http://www.newtonfund.ac.uk,Zika Rapid Response Iniative,Funder,Joint R&D funding with MRC and Wellcome,http://www.glopid-r.org/wp-content/uploads/2016/05/findings-of-zika-research-working-groups-on-vaccines-aetiology-and-diagnostics.pdf
46,Zika,São Paulo Research Foundation FAPESP,São Paulo Research Foundation FAPESP,America (AMRO),Brazil,São Paulo - SP,"R. Pio XI, 1500 - Alto da Lapa",05468-140,55 11 3838-4000,http://www.fapesp.br/en/contactus/,Public,http://www.fapesp.br/en/,"Zika Rapid Response Iniative, GloPID- R",Funder,Collaborating with Butantan to improve anti-ZIKV antibodies,http://www.glopid-r.org/wp-content/uploads/2016/05/findings-of-zika-research-working-groups-on-vaccines-aetiology-and-diagnostics.pdf
47,Zika,Global Challenges Research Fund,Global Challenges Research Fund,Europe (EURO),United Kingdom,,,,44 1793 414665,gcrf@bbsrc.ac.uk ,Public,,Zika Rapid Response Iniative,Funder,Rapid response funding (1 million) for diagnostics and therapeutics,https://www.mrc.ac.uk/news/browse/rapid-response-launched-to-fast-track-zika-research/
48,Zika,European Commission,European Commission,Europe (EURO),Europe,,Variety of local offices: http://ec.europa.eu/contact/local_offices_en.htm,,00800 67 89 10 11,http://europa.eu/contact/write-to-us/index_en.htm,Public,http://ec.europa.eu/index_en.htm,GloPID-R,Funder,Released 10 million in R&D funds,http://ec.europa.eu/research/health/index.cfm?pg=area&areaname=zika
49,Zika,Access Bio Inc.,Access Bio Inc.,America (AMRO),United States,"Somerset, NJ",65 Clyde Rd. Suite A,08873,,http://www.accessbio.net,Private,http://www.accessbio.net,,Laboraty Methods,Developing point-of-care diagnostics,http://www.ghif.com/uncategorized/ghif-invests-in-access-bio/
50,Zika,University of Maryland,University of Maryland,America (AMRO),United States,"College Park, MD",,20742,301.405.1000, emailum@umd.edu,Academic,http://www.umd.edu,,Vaccine,Formed research consortium for vaccine development,http://www.baltimoresun.com/health/bs-hs-zika-task-force-20160215-story.html
51,Zika,Atheric Pharmaceutical LLC,Atheric Pharmaceutical LLC,America (AMRO),United States,"Scottsville, VA",10029 Hatton Ferry Rd,24590,(434) 286-3151,Robert.Malone@Atheric.com,Private,http://www.atheric.com,,Therapeutics,Using re-purposed drugs (e.g. anti-malaria medication) for Zika and other flaviviruses ,http://www.atheric.com/
52,Zika,The Immunobiological Technology Institute (Bio-Manguinhos),The Immunobiological Technology Institute (Bio-Manguinhos),America (AMRO),Brazil,"Manguinhos, Rio de Janeiro - RJ",Avenida Brasil 4.365,21.040-900,(21) 3882-9393,faleconosco@bio.fiocruz.br,Public,http://portal.fiocruz.br/en/content/immunobiological-technology-institute-biomanguinhos,,Laboraty Methods,"Developed quick-test kits for detection, partnering with other Brazilian players for vaccine R&D",http://agenciabrasil.ebc.com.br/en/geral/noticia/2016-02/government-probes-deep-zika-linked-death
53,Zika,Themis Bioscience,Themis Bioscience,Europe (EURO),Austria,Wein, Muthgasse 11,1190,43 1 236 7151,office@themisbio.com,Private,http://www.themisbio.com/#/,,Vector Control,"Collaborating with Institut Pasteur on measles vectors for Zika, previous work on chikungunya",http://www.greffex.com/wp-content/uploads/2016/05/JRP-ZIIKA-Write-up-F2.pdf
54,Zika,Valneva,Valneva,Europe (EURO),France,Lyon,"World Trade Center Lyon, Tour Oxygène, 10-12 boulevard Marius Vivier Merle",690073,33 4 78 76 61 01 ,http://www.valneva.com/en/company/contact,Private,http://www.valneva.com/en/,,Vaccine,Proof-of-concept work with its IXIARO platform for Zika (originally designed for Japanese encephalitis),"""Valneva Reports Strong Q1 Revenue Growth and Positive EBITDA;
Reaffirms Financial Guidance and Pipeline Outlook for 2016"""
55,Zika,US Center for Disease Control and Prevention CDC (USA),US Centers for Disease Control and Prevention (CDC),America (AMRO),United States,"Atlanta, GA",1600 Clifton Road,30333,800-CDC-INFO,https://wwwn.cdc.gov/dcs/ContactUs/Form,Public,http://www.cdc.gov,,All,Working with NIAID and the NIH,https://www.niaid.nih.gov/topics/zika/researchapproach/Pages/vaccineResearch.aspx
56,Zika,US Center for Disease Control and Prevention CDC (USA),US Center for Disease Control and Prevention CDC (USA),America (AMRO),United States,"Atlanta, GA",1600 Clifton Road,30333,800-CDC-INFO,https://wwwn.cdc.gov/dcs/ContactUs/Form,Public,http://www.cdc.gov,,Laboraty Methods,CDC Zika MAC-ELISA,http://www.cdc.gov/media/releases/2016/s0226-laboratory-test-for-zika-virus.html
57,Zika,US Center for Disease Control and Prevention CDC (USA),US Center for Disease Control and Prevention CDC (USA),America (AMRO),United States,"Atlanta, GA",1600 Clifton Road,30333,800-CDC-INFO,https://wwwn.cdc.gov/dcs/ContactUs/Form,Public,http://www.cdc.gov,,Laboraty Methods,CDC Trioplex Real-time RT-PCR Assay (Trioplex rRT-PCR),http://www.fda.gov/EmergencyPreparedness/Counterterrorism/MedicalCountermeasures/MCMLegalRegulatoryandPolicyFramework/ucm182568.htm#zika
58,Zika,Leomics Inc.,Leomics Inc.,America (AMRO),United States,,,,[201] 248-8313,jorgeleon@leomics.com,Private,http://www.leomics.com,,Laboraty Methods,Evaluating a new diagnostic test for Zika,https://sitefinder.tghn.org/studies/evaluation-of-a-new-diagnostic-test-for-zika-virus-infection/
59,Zika,Oswaldo Cruz Foundation(Fiocruz),Oswaldo Cruz Foundation(Fiocruz),America (AMRO),Brazil,Rio de Janeiro,"Av. Brazil, 4365 - Manguinho",21040-900 ,(0xx21)2598-4242,,Public,http://portal.fiocruz.br/en/content/home-inglês,GloPID-R,Funder,Repurposing research from flavivirus laboratory,http://www.who.int/bulletin/volumes/94/3/16-030316/en/
60,Zika,The Jenner Institutue (Oxford University),The Jenner Institutue (Oxford University),Europe (EURO),United Kingdom,Oxford, Roosevelt Dr,OX3 7DQ,44 1865 617611,adrian.hill@ndm.ox.ac.uk,Academic,http://www.jenner.ac.uk/home,Zika Virus Vaccine Program,Vaccine,Developing vaccine based on adenoviral vector,http://www.jenner.ac.uk/zika-virus-vaccine-programme
61,Zika,Benemérita Universidad Autónoma de Puebla,Benemérita Universidad Autónoma de Puebla,America (AMRO),Mexico,"Heroica Puebla de Zaragoza, PUE","Calle 4 Sur 104, Centro Historico", 72000 ,52 222 229 5500,juan.morales@correo.buap.mx,Academic,http://www.buap.mx,Zika Virus Vaccine Program,Laboraty Methods,PCR based diagnosis of Zika; collaboration with Oxford to test immunogenicity,http://www.buap.mx/portal_pprd/wb/comunic/el_centro_de_deteccion_biomolecular_de_la_buap_est
62,Zika,Universidad Michoacana San Nicolás de Hidalgo,Universidad Michoacana San Nicolás de Hidalgo,America (AMRO),Mexico,"Morelia, Michoacana","Gral. Francisco J. Mugica S/N, Ciudad Universitaria",58030,52 443 322 3500,,Academic,http://www.umich.mx/index.html,Zika Virus Vaccine Program,Vaccine,Working with Oxford,http://www.ndm.ox.ac.uk/mexico/background
63,Zika,Instituto Mexicano del Seguro Social,Instituto Mexicano del Seguro Social,America (AMRO),Mexico,"Ciudad de México, D.F.","Calle Reforma 476, Cuauhtémoc, Juárez",06600,52 55 5527 3200,http://201.149.45.42/atencionimss/atencion.html,Public,http://www.imss.gob.mx,Zika Virus Vaccine Program,Vaccine,Working with Oxford,http://www.ndm.ox.ac.uk/mexico/background
64,Zika,Centro Médico Nacional Siglo XXI,Centro Médico Nacional Siglo XXI,America (AMRO),Mexico,"Ciudad de México, D.F.","Av. Cuauhtémoc 300, Cuauhtemoc, Doctores",06720,52 55 5627 6900,http://201.149.45.42/atencionimss/atencion.html,Public,http://imss.gob.mx/directorio/instalacion/hped-cmn-siglo-xxi,Zika Virus Vaccine Program,Vaccine,Working with Oxford,http://www.ndm.ox.ac.uk/mexico/background
65,Zika,Immunovaccine,Immunovaccine,America (AMRO),Canada,"Halifax, NS",1819 Granville St,B3J 3R1,1 902-492-1819, info@imvaccine.com ,Private,https://www.imvaccine.com,,Vaccine,Using single-dose vaccine platform (DepoVax) for Zika R&D,https://www.imvaccine.com/releases.php?releases_id=381
66,Zika,Leidos,Leidos,America (AMRO),United States,"Reston, VA ",11951 Freedom Drive ,20190 ,(571) 526-6000,https://www.leidos.com/contact,Private,https://www.leidos.com,,Vaccine,Working with Immunovaccine,http://investors.leidos.com/phoenix.zhtml?c=193857&p=irol-newsArticle&ID=2155192
67,Zika,Protein Sciences,Protein Sciences,America (AMRO),United States,"Meriden, CT ",1000 Research Parkway,06450,(800) 488-7099,http://www.proteinsciences.com/contact.htm,Private,http://www.proteinsciences.com,,Vaccine,Developing E-protein recombinants for Zika vaccine,http://www.proteinsciences.com/VAC.htm#VAC5
68,Zika,Sinergium,Sinergium,America (AMRO),Argentina,"Garin, Buenos Aires",Ruta Panamericana Km 38.7,P1619IEA,54 11 3220-7300,http://www.sinergiumbiotech.com/en/contacto/,Private,http://www.sinergiumbiotech.com/en/,,Vaccine,Collaborating with Protein Sciences,http://www.prnewswire.com/news-releases/protein-sciences-corporation-sinergium-biotech-and-mundo-sano-announce-zika-vaccine-partnership-300253766.html
69,Zika,Mundo Sano,Mundo Sano,America (AMRO),Argentina, Ciudad de Buenos Aires,Paraguay 1535,C1061ABC,(+54 11) 4872-1333,mundosano@mundosano.org,Nonprofit ,http://www.mundosano.org/en/,,Vaccine,Collaborating with Protein Sciences,http://www.prnewswire.com/news-releases/protein-sciences-corporation-sinergium-biotech-and-mundo-sano-announce-zika-vaccine-partnership-300253766.html
70,Zika,Oxis International Inc.,Oxis International Inc.,America (AMRO),United States,"Tampa, FL","100 South Ashley Drive, Suite 600",33602,,http://www.oxis.com/contact,Private,http://www.oxis.com,,Therapeutics,Small molecule inhibition of non-structural ZIKV proteins,http://www.prnewswire.com/news-releases/oxis-continues-push-for-zika-cure-following-new-confirmed-case-in-south-korea-300241799.html
71,Zika,University of Pittsburgh,University of Pittsburgh,America (AMRO),United States,"Pittsburgh, PA",4200 Fifth Ave,15260, 412-624-4141,,Academic,http://www.pitt.edu,,Vaccine,"Formed international R&D partnership, Cura Zika",http://www.publichealth.pitt.edu/curazika
