Body,Affiliation 1,Activity 1,Affiliation 2,Activity 2,Affiliation 3,Activity 3,Affiliation 4,Activity 4,Affiliation 5,Activity 5,Affiliation 6,Activity 6,Affiliation 7,Activity 7,Affiliation 8,Activity 8,Affiliation 9,Activity 9,Affiliation 10,Activity 10,Affiliation 11,Activity 11,Affiliation 12,Activity 12,Affiliation 13,Activity 13,Affiliation 14,Activity 14,Affiliation 15,Activity 15,Affiliation 16,Activity 16,Affiliation 17,Activity 17,Affiliation 18,Activity 18,Affiliation 19,Activity 19,Affiliation 20,Activity 20,Affiliation 21,Activity 21,Affiliation 22,Activity 22,Affiliation 23,Activity 23,Affiliation 24,Activity 24,Affiliation 25,Activity 25,Affiliation 26,Activity 26,Affiliation 27,Activity 27,Affiliation 28,Activity 28,Affiliation 29,Activity 29,Affiliation 30,Activity 30,Affiliation 30,Activity 30,Affiliation 31,Activity 31,Affiliation 32,Activity 32,Affiliation 33,Activity 33,Affiliation 34,Activity 34,Affiliation 35,Activity 35,Affiliation 36,Activity 36,Affiliation 37,Activity 37,Affiliation 38,Activity 38,Affiliation 39,Activity 39,Affiliation 39,Activity 39,Affiliation 40,Activity 40,Affiliation 41,Activity 41,Affiliation 42,Activity 42,Affiliation 43,Activity 43,Affiliation 44,Activity 44,Affiliation 45,Activity 45
Fiocruz Institute,,,GloPiD-R,Funding,ESSENCE,Capcity Building,,,,,,,,,GABRIEL,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZIKAlliance,Epidemiology,ZikaPLAN,Epidemiology,,,MERG,Epidemiology,,,,,,,,,,,,,,,,,,,,,FACT,Drug Development,,,,,,,,,,
German Federal Ministry of Education and Research,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Council of Medical Research,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institut national de la santé et de la recherche médicale,,,GloPiD-R,Funding,,,,,EDCTP,Clinical Trials,,,,,,,,,,,ISARIC,Information Sharing,,,,,,,,,,,EMERGE,Laboratory Methods,EVAg,Information Sharing,EMLab,Laboratory Methods,,,,,,,,,,,,,,,,,ZIKAlliance,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,EBOVAC,Clinical Trials,,,,,,,,,,,,,,
International Development Research Centre,,,GloPiD-R,Funding,ESSENCE,Capcity Building,,,,,,,COHRED,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APEIR,Clinical Trials,,,,,,,,,,,,,,,,,,
Japan Agency for Medical Research and Development,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Medical Research Council,,,GloPiD-R,Funding,,,,,EDCTP,Clinical Trials,,,,,,,,,,,ISARIC,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MERG,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Health of Italy,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Science, Technology and Productive Innovation of Argentina",,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Council of Science and Technology of Mexico,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health and Medical Research Council,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Institute of Health Carlos III,,,GloPiD-R,Funding,ESSENCE,Capcity Building,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,EMERGE,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Institute of Health, Department of Medical Sciences of Thailand",,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Research Foundation of Korea,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Council of Norway,,,GloPiD-R,Funding,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Paulo Research Foundation,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Medical Research Council,,,GloPiD-R,Funding,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Development Bank,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austrian Development Agency,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnegie Corporation of New York,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VMI,Vaccine modelling,,,,,,,,,,,,
Doris Duke Charitable Foundation,,,,,ESSENCE,Capcity Building,,,,,,,COHRED,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European and Developing Countries Clinical Trials Partnership,,,,,ESSENCE,Capcity Building,,,,,,,COHRED,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Ministry for Economic Cooperation and Development of Germany,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fogarty International Center,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US National Institute of Health,,,,,ESSENCE,Capcity Building,,,,,,,COHRED,Capcity Building,,,,,NIH Tropical Research Centres,Capacity Building,,,,,REDMEI,Capacity Building,SEAICRN,Capacity Building,,,,,,,,,,,Zika Task Force,Epidemiology,,,H3Africa,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VMI,Vaccine modelling,,,,,,,,,ICEMR,Clinical Trials,,
Fondation Mérieux,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,PREPARE,Clinical Trials,,,,,,,,,,,EVAg,Information Sharing,,,,,,,,,,,,,,,,,COMPARE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard Hughues Medical Institute,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institut Pasteur,,,,,ESSENCE,Capcity Building,,,,,Afircan meningococcal carriage Consortium,Epidemiology,,,,,,,,,,,,,,,,,,,EMPERIE,Epidemiology,,,EVAg,Information Sharing,,,Zika Task Force,Epidemiology,,,,,,,,,,,PERISCOPE,Vaccine development,,,ZIKAlliance,Epidemiology,ZikaPLAN,Epidemiology,CONSISE,Information Sharing,,,,,ZIKAVAX,Vaccine development,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minsitry of Foreign Affairs of Denmark,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Health, Labour and Welfare of Japan",,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwegian Agency for Development Cooperation,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockefeller Foundation,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDPRG,Clinical Trials,,,,,,,,,,,,,,,,
Swedish International Development Cooperation Agency,,,,,ESSENCE,Capcity Building,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Agency for Development and Cooperation Federal Department of Foreign Affairs,,,,,ESSENCE,Capcity Building,,,,,,,COHRED,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association of Commonwealth Universities,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands Organisation for Scientific Research,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBS Optimus Foundation,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Collaborative on Development Sciences,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Deparment for International Development,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AESA,Capacity Building,,,,,,,,,,,,,,,,,,,,,COMDIS,Capacity Building,,,,,CDPRG,Clinical Trials,,,,,,,,,,,,,,,,
United States Agency for International Development,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APEIR,Clinical Trials,,,,,,,,,,,PULSE,Training,GDDP,Laboratory Methods,,,,
Tulane University,,,,,,,VHF Consortium,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broad Institute of Harvard,,,,,,,VHF Consortium,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenema Government Hospital,,,,,,,VHF Consortium,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irrua Specialist Teaching Hopsital of Nigeria,,,,,,,VHF Consortium,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMLab,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autoimmune Technologies,,,,,,,VHF Consortium,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corgenix,,,,,,,VHF Consortium,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripps Research Institute,,,,,,,VHF Consortium,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Texas Medical Branch,,,,,,,VHF Consortium,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,EVAg,Information Sharing,,,Zika Task Force,Epidemiology,Chikungunya Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zalgen Labs,,,,,,,VHF Consortium,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical University of Vienna,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austrian Federal Ministry of Science and Research,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgian Science Policy Office,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institute for Tropical Medicine of Antwerp,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,PREPARE,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPARE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AfriCoLeish,Drug Development,,,,,,,,
Centre National de Recherche et de Formation sur le Paludisme,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre de Recherche en Santé de Nouna,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Public Health of Cameroon,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University Marien Ngouabi,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statens Serum Institute,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPARE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Finland,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministère de l'Enseignement Supérieure et de la Recherche of France,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Pierre and Marie Curie,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre de Recherche Médicales de Lambaréné,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Université des Sciences de la Santé of Gabon,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Health and Social Welfare of Gambia,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bündesministerium für Bildung und Forschung of Germany,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deutsches Zentrum für Luft und Raumfahrt,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Ghana,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Ionannina School of Medicine,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Secretariat for Research & Technology of Greece,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Irish Aid, Department of Foreign Affairs and Trade",,,,,,,,,EDCTP,Clinical Trials,,,COHRED,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instituto Superiore di Sanita,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zika Task Force,Epidemiology,,,,,,,,,,,,,COMPARE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fonds National de la Recherche du Luxembourg,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Bamako,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,NIH Tropical Research Centres,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,H3Africa,Capacity Building,PDNA,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICEMR,Clinical Trials,Team B,Information Sharing
Ministry of Health of Mozambique,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Research Centre of Manhica,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWO-WOTRO Science for Global Development,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minsitry of Foreign Affairs of Netherlands,,,,,,,,,EDCTP,Clinical Trials,,,COHRED,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Public Health of Niger,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre de Recherche Médicale et Sanitaire of Niger,,,,,,,,,EDCTP,Clinical Trials,Afircan meningococcal carriage Consortium,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwegian Directorate of Health,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundation for Science and Technology of Portugal,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University Cheikh Anta Diop,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDDO,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,ICEMR,Clinical Trials,,
Department of Science and Technology of South Africa,,,,,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
